MNR,GapBand,N,Mean,Median,P25,P75
1,1,15,.55664772,.49838188,.4074074,.82677168
1,2,24,.59598958,.65596277,.45616066,.75743496
1,3,32,.63837636,.75413376,.47828484,.84557569
1,4,9,.58081383,.73214287,.46158651,.83136851
5,1,3,.3909685,.27659574,.25263157,.64367819
5,2,18,.5068059,.54097617,.29131654,.71596247
5,3,15,.30982071,.33757961,.27294883,.41126072
5,4,17,.41648778,.24761905,.18132555,.81174088
0,1,11,.48209777,.32081911,.24213837,.91618496
0,2,7,.45269063,.41801387,.16785714,.66992664
0,3,13,.55367577,.44498777,.25068119,.95979899
0,4,10,.25669461,.17695366,.093489148,.32640201
