scenario,intervention,bcr,mean,lo95,hi95
A_trial,dvd,CR,19.48,14.28,24.99
A_trial,vd,CR,9.10,5.63,12.99
A_trial,dvd,VGPR,40.03,34.03,46.64
A_trial,vd,VGPR,20.46,16.02,25.54
A_trial,dvd,PR,24.05,18.91,29.41
A_trial,vd,PR,34.74,28.57,40.47
A_trial,dvd,MR,4.19,1.68,7.14
A_trial,vd,MR,8.50,4.76,12.12
A_trial,dvd,SD,10.22,6.30,14.49
A_trial,vd,SD,20.25,15.15,25.97
A_trial,dvd,PD,2.03,0.42,3.78
A_trial,vd,PD,6.95,3.90,10.82
B_transport,dvd,CR,14.15,8.50,21.27
B_transport,vd,CR,13.59,9.41,18.16
B_transport,dvd,VGPR,32.59,24.61,39.81
B_transport,vd,VGPR,22.20,18.53,25.74
B_transport,dvd,PR,31.94,26.12,37.03
B_transport,vd,PR,30.43,28.49,32.25
B_transport,dvd,MR,5.76,3.56,8.47
B_transport,vd,MR,8.97,7.56,10.63
B_transport,dvd,SD,11.04,7.01,16.61
B_transport,vd,SD,15.37,11.90,19.29
B_transport,dvd,PD,4.52,2.40,7.27
B_transport,vd,PD,9.46,6.48,13.27
C_mrdr,dvd,CR,14.25,12.35,16.32
C_mrdr,vd,CR,13.59,9.41,18.16
C_mrdr,dvd,VGPR,22.88,21.15,24.81
C_mrdr,vd,VGPR,22.20,18.53,25.74
C_mrdr,dvd,PR,30.59,28.76,32.32
C_mrdr,vd,PR,30.43,28.49,32.25
C_mrdr,dvd,MR,8.79,7.80,9.90
C_mrdr,vd,MR,8.97,7.56,10.63
C_mrdr,dvd,SD,14.73,13.10,16.61
C_mrdr,vd,SD,15.37,11.90,19.29
C_mrdr,dvd,PD,8.76,7.28,10.48
C_mrdr,vd,PD,9.46,6.48,13.27
