N,mcsd,mcsd_emp_dQ,pool_ceiling,chosen_n,param_sd_dQ
1000,.0175133663762425,,296191,50000,.06
1020,.0173408166866868,,296191,50000,.06
1040,.0171732686348385,,296191,50000,.06
1061,.0170024670225382,,296191,50000,.06
1083,.016828887407229,,296191,50000,.06
1104,.0166680615855165,,296191,50000,.06
1126,.0165044264967382,,296191,50000,.06
1149,.0163384035529834,,296191,50000,.06
1172,.0161772921008786,,296191,50000,.06
1196,.0160141555751895,,296191,50000,.06
1220,.0158558569058907,,296191,50000,.06
1244,.0157021616118088,,296191,50000,.06
1269,.0155467216176384,,296191,50000,.06
1294,.0153958083033708,,296191,50000,.06
1320,.0152434288333481,,296191,50000,.06
1347,.0150898817072731,,296191,50000,.06
1374,.0149408830654264,,296191,50000,.06
1401,.0147962126891251,,296191,50000,.06
1429,.0146505361614176,,296191,50000,.06
1458,.0145041028637546,,296191,50000,.06
1487,.014361974419708,,296191,50000,.06
1517,.0142192550018342,,296191,50000,.06
1547,.0140807074785092,,296191,50000,.06
1578,.0139417128540853,,296191,50000,.06
1610,.0138024662893947,,296191,50000,.06
1642,.0136673103649458,,296191,50000,.06
1675,.0135320074258123,,296191,50000,.06
1709,.0133967237427039,,296191,50000,.06
1743,.0132654180060709,,296191,50000,.06
1778,.013134203920088,,296191,50000,.06
1814,.0130032224364293,,296191,50000,.06
1850,.0128760830418995,,296191,50000,.06
1887,.0127492219871004,,296191,50000,.06
1925,.0126227582930157,,296191,50000,.06
1964,.0124968020721625,,296191,50000,.06
2000,,.0123238250101467,296191,50000,.06
2003,.0123745426967553,,296191,50000,.06
2043,.0122528029663745,,296191,50000,.06
2084,.0121316752373108,,296191,50000,.06
2126,.0120112443756976,,296191,50000,.06
2168,.0118943302919638,,296191,50000,.06
2212,.0117754380450209,,296191,50000,.06
2256,.0116600412132288,,296191,50000,.06
2301,.0115454622015874,,296191,50000,.06
2348,.0114293251187338,,296191,50000,.06
2395,.0113166236809354,,296191,50000,.06
2443,.0112048977988268,,296191,50000,.06
2492,.0110941903771206,,296191,50000,.06
2542,.010984539629352,,296191,50000,.06
2592,.0108780771478159,,296191,50000,.06
2644,.0107705754581234,,296191,50000,.06
2697,.0106642215720798,,296191,50000,.06
2751,.0105590376378405,,296191,50000,.06
2807,.0104531799507362,,296191,50000,.06
2863,.0103504435023119,,296191,50000,.06
2920,.0102489224597078,,296191,50000,.06
2979,.0101469233919989,,296191,50000,.06
3039,.0100462569801783,,296191,50000,.06
3099,.0099485284216741,,296191,50000,.06
3162,.0098489220527127,,296191,50000,.06
3225,.009752248825585,,296191,50000,.06
3290,.0096554314341139,,296191,50000,.06
3356,.0095600168347011,,296191,50000,.06
3423,.009465993099839,,296191,50000,.06
3491,.009373347299427,,296191,50000,.06
3561,.0092807622289782,,296191,50000,.06
3633,.0091883373975469,,296191,50000,.06
3706,.0090973923579294,,296191,50000,.06
3780,.0090079036698923,,296191,50000,.06
3856,.0089186910624109,,296191,50000,.06
3933,.0088309547598278,,296191,50000,.06
4012,.0087435776434537,,296191,50000,.06
4092,.008657685800403,,296191,50000,.06
4174,.0085722220209103,,296191,50000,.06
4258,.008487246280129,,296191,50000,.06
4343,.0084037808480277,,296191,50000,.06
4430,.0083208514745495,,296191,50000,.06
4519,.0082385060024605,,296191,50000,.06
4610,.0081567879166257,,296191,50000,.06
4702,.0080765952781087,,296191,50000,.06
4796,.0079970543188781,,296191,50000,.06
4892,.0079181989400308,,296191,50000,.06
