characteristic,value
N,632
n Vd (Regimen 5),132
n VCd (Regimen 4),311
n VTd (Regimen 9),189
Age median (range) y,69.59999847412109 (35.20000076293945-90.59999847412109)
Age lt65 %,33.2
Age 65to74 %,35.1
Age ge75 %,31.6
Male %,59.3
ISS 1 %,18.2
ISS 2 %,32.9
ISS 3 %,48.90000000000001
ISS missing %,0
Time since diagnosis median (range) y,.9 (0-9.4)
Prior lines median (range),1 (1-5)
Prior lines = 1 %,71.5
Prior lines = 2 %,14.4
Prior lines = 3 %,7.600000000000001
Prior lines >=4 %,6.5
Prior ASCT %,26.3
Prior PI %,85.10000000000001
Prior IMiD %,42.90000000000001
Prior Alkylator %,76.10000000000001
Prior PI + IMiD %,28.8
