lineno,costkey,weight
1,Rd,.5934
1,Vd,.2967
1,DVd_p3,.0275
1,R,.0238
1,Td,.0128
1,Kd_p2,.011
1,VTd,.0092
1,TCd,.0073
1,KCd,.0073
1,Dad,.0055
1,Pd,.0037
1,T,.0018
2,VRd,.2067
2,R,.1522
2,VCd,.1474
2,VTd,.1346
2,TCd,.0962
2,Kd_p2,.0561
2,Vd,.0497
2,Td,.0417
2,VPod,.024
2,Dad,.0208
2,Pd,.0192
2,T,.016
2,DadPo,.016
2,KCd,.008
2,Da,.0064
2,PoCd,.0032
2,KRd,.0016
3,DVd_p3,.2005
3,Pd,.1599
3,VRd,.105
3,R,.0955
3,VPod,.0931
3,Vd,.0477
3,PoCd,.043
3,VCd,.0382
3,KCd,.0334
3,DadPo,.031
3,Dad,.031
3,KRd,.0286
3,Da,.0239
3,TCd,.0239
3,Td,.0191
3,VTd,.0167
3,T,.0095
4,Rd,.217
4,VPod,.1872
4,VRd,.1617
4,PoCd,.0596
4,DVd_p3,.0596
4,VCd,.0553
4,DadPo,.0468
4,R,.0468
4,Dad,.0383
4,KCd,.034
4,Vd,.034
4,KRd,.0255
4,Da,.017
4,T,.0085
4,TCd,.0043
4,Td,.0043
5,Pd,.2229
5,Kd_p2,.1338
5,VPod,.1019
5,DadPo,.0828
5,Vd,.0828
5,Dad,.0764
5,PoCd,.0701
5,Da,.0573
5,DVd_p3,.051
5,Rd,.0318
5,VCd,.0318
5,KCd,.0255
5,KRd,.0255
5,VRd,.0064
6,Pd,.1653
6,Dad,.1405
6,DadPo,.1322
6,Kd_p2,.124
6,Da,.1074
6,VPod,.0661
6,DVd_p3,.0661
6,Rd,.0413
6,Vd,.0331
6,VCd,.0331
6,PoCd,.0331
6,VRd,.0248
6,R,.0165
6,Td,.0083
6,T,.0083
