drug,strength_mg,pack_size,aemp,program,setting,kind,form,max_amount_mg,code,brand,sched
Bortezomib,1,1,75.01,IN,public,injectable,Powder for injection 1 mg,3,12219D,Bortezomib Accord,2025-07-01
Bortezomib,2.5,1,24.92,IN,public,injectable,Solution for injection 2.5 mg in 1 mL,3,12219D,Bortezomib Ever Pharma,2025-07-01
Bortezomib,3,1,389.92,IN,public,injectable,Powder for injection 3 mg,3,12219D,DBL Bortezomib,2025-07-01
Bortezomib,3.5,1,34.88,IN,public,injectable,Powder for injection 3.5 mg,3,12219D,Bortezom,2025-07-01
Bortezomib,1,1,75.01,IP,private,injectable,Powder for injection 1 mg,3,12227M,Bortezomib Accord,2025-07-01
Bortezomib,2.5,1,24.92,IP,private,injectable,Solution for injection 2.5 mg in 1 mL,3,12227M,Bortezomib Accord,2025-07-01
Bortezomib,3,1,389.92,IP,private,injectable,Powder for injection 3 mg,3,12227M,DBL Bortezomib,2025-07-01
Bortezomib,3.5,1,34.88,IP,private,injectable,Powder for injection 3.5 mg,3,12227M,Bortezom,2025-07-01
Carfilzomib,10,1,200.92,IN,public,injectable,Powder for injection 10 mg,120,11230C,Kyprolis,2025-07-01
Carfilzomib,30,1,602.75,IN,public,injectable,Powder for injection 30 mg,120,11230C,Kyprolis,2025-07-01
Carfilzomib,60,1,1205.49,IN,public,injectable,Powder for injection 60 mg,120,11230C,Kyprolis,2025-07-01
Carfilzomib,10,1,200.92,IP,private,injectable,Powder for injection 10 mg,120,11229B,Kyprolis,2025-07-01
Carfilzomib,30,1,602.75,IP,private,injectable,Powder for injection 30 mg,120,11229B,Kyprolis,2025-07-01
Carfilzomib,60,1,1205.49,IP,private,injectable,Powder for injection 60 mg,120,11229B,Kyprolis,2025-07-01
Cyclophosphamide,50,50,131.65,GE,community,oral,Tablet 50 mg (anhydrous),,1266P,Cyclonex,2025-07-01
Daratumumab,100,1,584.19,IN,public,injectable,Solution concentrate for I.V. infusion 100 mg in 5 mL,1920,12225K,Darzalex,2025-07-01
Daratumumab,400,1,2336.76,IN,public,injectable,Solution concentrate for I.V. infusion 400 mg in 20 mL,1920,12225K,Darzalex,2025-07-01
Daratumumab,100,1,584.19,IP,private,injectable,Solution concentrate for I.V. infusion 100 mg in 5 mL,1920,12220E,Darzalex,2025-07-01
Daratumumab,400,1,2336.76,IP,private,injectable,Solution concentrate for I.V. infusion 400 mg in 20 mL,1920,12220E,Darzalex,2025-07-01
Dexamethasone,.5,30,2.50,GE,community,oral,Tablet 500 micrograms,,1292B,Dexmethsone,2025-07-01
