regimen,drug,strength_mg,dose,basis,freq_per_cycle,cycles,admins_override,units_override,note
VCd,Bortezomib,3.5,1.5,m2,4,4,,,
VCd,Cyclophosphamide,50.0,300.0,m2,4,4,,,
VCd,Dexamethasone,4.0,40.0,flat,8,4,,,
VRd,Bortezomib,3.5,1.3,m2,4,5,,,
VRd,Lenalidomide,25.0,25.0,flat,14,5,,,
VRd,Dexamethasone,4.0,20.0,flat,8,5,32,,
Rd,Lenalidomide,25.0,25.0,flat,21,8,,,
Rd,Dexamethasone,4.0,40.0,flat,4,8,,,
Kd,Carfilzomib,60.0,20.0,m2,2,1,,,
Kd,Carfilzomib,60.0,56.0,m2,4,1,,,
Kd,Dexamethasone,4.0,40.0,flat,3,1,,,
DVd,Daratumumab,1800.0,16.0,kg,,8,13,,
DVd,Bortezomib,3.5,1.3,m2,4,8,,,
DVd,Dexamethasone,4.0,20.0,flat,6,8,,,
Pd,Pomalidomide,4.0,4.0,flat,21,1,,,
Pd,Dexamethasone,4.0,40.0,flat,4,1,,,
VTd,Bortezomib,3.5,1.3,m2,4,4,,,
VTd,Thalidomide,100.0,200.0,flat,21,4,,,
VTd,Dexamethasone,4.0,40.0,flat,8,4,,,
TCd,Thalidomide,100.0,100.0,flat,28,1,,,
TCd,Cyclophosphamide,50.0,500.0,flat,4,1,,,
TCd,Dexamethasone,4.0,40.0,flat,8,1,,,
Td,Thalidomide,100.0,200.0,flat,28,1,,,
Td,Dexamethasone,4.0,40.0,flat,4,1,,,
Vd,Bortezomib,3.5,1.3,m2,4,4,,,
Vd,Dexamethasone,4.0,20.0,flat,8,4,,,
R,Lenalidomide,10.0,10.0,flat,28,8,,,
T,Thalidomide,100.0,100.0,flat,28,1,,,
